DATE,DEXMXUS
2014-09-08,13.0755
2014-09-09,13.2040
2014-09-10,13.2090
2014-09-11,13.2120
2014-09-12,13.2485
2014-09-15,13.2315
2014-09-16,13.1540
2014-09-17,13.1805
2014-09-18,13.2355
2014-09-19,13.2390
2014-09-22,13.2595
2014-09-23,13.2925
2014-09-24,13.2990
2014-09-25,13.3800
2014-09-26,13.4445
2014-09-29,13.4823
2014-09-30,13.4270
2014-10-01,13.4610
2014-10-02,13.4100
2014-10-03,13.4725
2014-10-06,13.3970
2014-10-07,13.4370
2014-10-08,13.4855
2014-10-09,13.3940
2014-10-10,13.4270
2014-10-13,.
2014-10-14,13.4015
2014-10-15,13.5615
2014-10-16,13.5605
2014-10-17,13.5155
2014-10-20,13.5365
2014-10-21,13.5060
2014-10-22,13.5430
2014-10-23,13.5240
2014-10-24,13.5290
2014-10-27,13.5727
2014-10-28,13.4880
2014-10-29,13.4150
2014-10-30,13.4300
2014-10-31,13.4825
2014-11-03,13.5405
2014-11-04,13.5930
2014-11-05,13.5935
2014-11-06,13.6205
2014-11-07,13.5625
2014-11-10,13.5475
2014-11-11,.
2014-11-12,13.5600
2014-11-13,13.6120
2014-11-14,13.5360
2014-11-17,13.5870
2014-11-18,13.5450
2014-11-19,13.6070
2014-11-20,13.6170
2014-11-21,13.6255
2014-11-24,13.6415
2014-11-25,13.6410
2014-11-26,13.7155
2014-11-27,.
2014-11-28,13.9210
2014-12-01,13.9355
2014-12-02,14.0695
2014-12-03,14.0920
2014-12-04,14.1020
2014-12-05,14.3260
2014-12-08,14.4270
2014-12-09,14.3655
2014-12-10,14.5175
2014-12-11,14.7050
2014-12-12,14.7850
2014-12-15,14.7940
2014-12-16,14.7440
2014-12-17,14.5655
2014-12-18,14.5585
2014-12-19,14.6635
2014-12-22,14.6405
2014-12-23,14.7075
2014-12-24,14.7460
2014-12-25,.
2014-12-26,.
2014-12-29,14.7125
2014-12-30,14.7230
2014-12-31,14.7500
2015-01-01,.
2015-01-02,14.8060
2015-01-05,14.9700
2015-01-06,14.8785
2015-01-07,14.7875
2015-01-08,14.6095
2015-01-09,14.5765
2015-01-12,14.6370
2015-01-13,14.5755
2015-01-14,14.5740
2015-01-15,14.5920
2015-01-16,14.6110
2015-01-19,.
2015-01-20,14.6465
2015-01-21,14.7250
2015-01-22,14.6015
2015-01-23,14.6400
2015-01-26,14.5640
2015-01-27,14.5775
2015-01-28,14.6855
2015-01-29,14.8805
2015-01-30,15.0050
2015-02-02,14.8815
2015-02-03,14.7515
2015-02-04,14.7935
2015-02-05,14.7480
2015-02-06,14.9175
2015-02-09,14.8090
2015-02-10,14.9530
2015-02-11,15.1025
2015-02-12,14.8905
2015-02-13,14.8730
2015-02-16,.
2015-02-17,14.8850
2015-02-18,14.9610
2015-02-19,14.9370
2015-02-20,15.0625
2015-02-23,15.0780
2015-02-24,14.9755
2015-02-25,14.9190
2015-02-26,14.9465
2015-02-27,14.9390
2015-03-02,14.9895
2015-03-03,14.9350
2015-03-04,15.0825
2015-03-05,15.1810
2015-03-06,15.4480
2015-03-09,15.4635
2015-03-10,15.5815
2015-03-11,15.4610
2015-03-12,15.3660
2015-03-13,15.4985
2015-03-16,15.4225
2015-03-17,15.4250
2015-03-18,15.4285
2015-03-19,15.3055
2015-03-20,15.0500
2015-03-23,14.9565
2015-03-24,14.9450
2015-03-25,14.9330
2015-03-26,15.0855
2015-03-27,15.1720
2015-03-30,15.2490
2015-03-31,15.2450
2015-04-01,15.1130
2015-04-02,15.0635
2015-04-03,14.8025
2015-04-06,14.8225
2015-04-07,14.9200
2015-04-08,14.9065
2015-04-09,15.0550
2015-04-10,15.1670
